Product A,Product B,Cosine Similarity
Tesco Crystal Balloons 10 Pack,Tesco Birthday Girl Balloons 10 Pack,0.9159097423388622
Tesco Birthday Girl Balloons 10 Pack,Tesco Silver Balloons 10 Pack,0.9114064937876716
Tesco Neon Balloons 10 Pack,Tesco Birthday Girl Balloons 10 Pack,0.9075482333747705
Unibond Aero 360 Refill Lavender,Unibond Aero 360 Moisture Absorber,0.906425116447271
Colours Decorating Kit,Honeycomb Balloon Garland,0.9021757207274749
Rose Gold Decoration Discs,Colours Decorating Kit,0.9014638194514798
Master Lock 30Mm Solid Aluminium Padlock,Master Lock 40Mm Padlock Hardend Steel Shackle,0.8779019335688113
Sterling Screws And Wall Plugs Large Set,Sterling Small Nails Large Set,0.8759193164723907
Tesco Decorating Caulk 300Ml,Tesco Multi Purpose Silicon Sealant 300Ml,0.8671366267239967
Rose Gold Decoration Discs,Honeycomb Balloon Garland,0.8531037854133044
Good Boy Wagtastic Chicken Dumbells 350G,Wagtastic Treat Chicken Fillets 320G,0.8415685324635056
Tesco Carded Fresh Linen Air Freshener,Tesco Carded New Car Air Freshener,0.8387959224701084
Redex 5W-30 Vw 2L,Redex 5W-30 Peugeot & Citroen 2L,0.8365749222713551
Sterling Small Nails Large Set,Sterling Cable Ties Set,0.8341022066042609
Tesco 3Pc Microfibre Cloths 3 Pack,Tesco 2Pc Microfibre Washndry,0.8288364244009165
Sterling Screws And Wall Plugs Large Set,Sterling Cable Ties Set,0.8266778908904624
Tesco Carded Ice Air Freshener,Tesco Carded Fresh Linen Air Freshener,0.8058822370719977
Command Decorate Clip Value Pack 40 Clips 48 Strips,Command Clear Utensil Hooks 3 Hook 4 Strips,0.7921869157991072
Command Clear Utensil Hooks 3 Hook 4 Strips,Command White Wire Hooks 2 Pack,0.7877940209827303
Talking Tables Confetti Ballons Pastel,Talking Tables Confetti Ballons Gold,0.7849525419949511
Tesco Carded Ocean Air Freshener,Tesco Carded New Car Air Freshener,0.774930553583174
Tesco Carded Ocean Air Freshener,Tesco Carded Fresh Linen Air Freshener,0.7695605831973067
Talking Tables Confetti Ballons Pastel,Tesco Age 30 Balloons 6 Pack,0.748311453383748
Castrol Mag 10W/40 1L,Castrol Edge 5W-30 1L,0.7459615909451438
Talking Tables Confetti Ballons Pastel,Tesco Star Balloon 10 Pack,0.744858240701516
Aromatherapy Car Air Freshener Llama,Aromatherapy Car Air Freshener Unicorn,0.7368008488176738
Tesco Age 40 Balloons 6 Pack,Talking Tables Confetti Ballons Pastel,0.736069117265109
Tesco Age 18 Balloons 6 Pack,Talking Tables Confetti Ballons Pastel,0.736069117265109
Tesco Heart Balloons 10 Pack,Talking Tables Confetti Ballons Pastel,0.7352864916812083
Tesco Age 21 Balloons 6 Pack,Talking Tables Confetti Ballons Pastel,0.7312415474599812
Tesco Crystal Balloons 10 Pack,Talking Tables Confetti Ballons Pastel,0.7297932366164686
Command Small Hooks Value Pack 6 Pc,Command White Wire Hooks 2 Pack,0.7280812394611712
Talking Tables Confetti Ballons Pastel,Tesco Silver Balloons 10 Pack,0.7262050660975379
Tesco Neon Balloons 10 Pack,Talking Tables Confetti Ballons Pastel,0.7231308195596096
Tesco Purpose Filler 330G Tube,Tesco All Purpose Ready Mixed Filler 750G Tub,0.7220899478505525
Talking Tables Confetti Ballons Pastel,Tesco Happy B Day Balloons Pink 10 Pack,0.7200346153736542
"Tesco Loss Free Brush 1""","Tesco Loss Free Brush 2""",0.7144948731128599
Talking Tables Confetti Ballons Pastel,Tesco Birthday Girl Balloons 10 Pack,0.711626243673099
Tesco Multi Purpose Silicon Sealant 300Ml,Tesco Purpose Filler 330G Tube,0.7003255858865818
Skinny Tan Gradual Tanner 125Ml,Skinny Tan Coconut Water Tanning Mist 150Ml,0.6936546166670239
Tesco Decorating Caulk 300Ml,Tesco Purpose Filler 330G Tube,0.6874424217908324
Tesco Superhero Masks 6 Pack,Tesco Unicorn Scratch Mask 6 Pack,0.6825888389973522
Skinny Tan Gradual Tanner 125Ml,Skinny Tan Moisture Mousse Express 150Ml,0.6723776789892191
Tesco Multi Purpose Silicon Sealant 300Ml,Tesco All Purpose Ready Mixed Filler 750G Tub,0.6720236402257308
Aromatherapy Ventis Bottle Cherry Air Freshener,Aromatherapy Car Air Freshener Unicorn,0.6689061508395969
